Thunder Bay tonight answering questions our town hall Click here tune live 
Were investing the people who build Canada like the hardworking men women carpenters27 With more apprenticeships lower interest rates student loans the new Canada Training Benefit YourBudget2019 gives you the time support continue your important work 
Prime Minister JustinTrudeau joins LiUNA graduating class LiUNA Local Thunder Bay this afternoon Exciting day for Indigenous Training Students they begin path career building with LiunaCanada 
YourBudget2019 introduces the next step helping all Canadians get the skills they need find and keep good jobs Learn more about the Canada Training Benefit 
The new Canada Training Benefit YourBudget2019 will Give workers 250year help pay for training Provide weeks income support during that training Learn more 
Through the federal Budget our government introducing the CanadaTrainingBenefit new tool help working Canadians find the time and money upgrade their skills and progress their careers 
celebrated Nowruz and welcomed the arrival spring York region last night Nowruz Mubarak 
The Canada Training Benefit new personalized tool help all Canadians get the skills they need find and keep good jobs Learn more YourBudget2019 
promised eliminate all long-term drinking water advisories public systems reserve Today World Water Day stbstvdan and reflect the progress made far and the work still come advisories lifted still Our work continues 
What horrible attack Saint Josephs Oratory Montreal this morning Father Claude Grou Canadians are thinking you and wishing you swift recovery 
Shocked the news that Father Grou was stabbed during morning mass Saint Josephs Oratory osjmr team the Church offering all our support way back Outremont with you 
Last night Conservatives forced marathon votes for the 2nd night row They voted against funding for jobs the CAF veterans public safety the environment even more services that Canadians rely Were focused working for you while the opposition plays politics 
Prime Minister JustinTrudeau wishing Nowruz Mubarak all those celebrating the NewYear 
Always pleasure welcome JustinTrudeau Mississauga especially when hes here deliver 80M investment for transit roads cycling infrastructure our City Budget2019 delivered real results for cities recognizes our important role engines the economy 
Canadians rely infrastructure projects like roads bridges buses like Mississaugas MiWayHelps get work back home With YourBudget2019 your communities will have more money get those projects done make your life easier More 
Through the Municipal Top-Up YourBudget2019 proposes increase support for municipal infrastructure priorities this year help communities across the country invest where people need the most 
Happy Nowruz Last week joined MajidJowhari Richmond Hill celebrate spring and the New Year everyone celebrating wish you good health happiness and prosperous New Year 
Thanks YourBudget2019 municipalities across Canada will get more funding for infrastructure projects can use where people need most That means more middle class jobs and better roads more buses new rec centres make your community better place live 
Every young person who wants gain experience serving their community learning the workplace should have the opportunity With YourBudget2019 Canada its way making that reality 
Maia and are rocking our socks honour World Down Syndrome Day Today and every day lets work build society that includes values and celebrates everyone WDSD2019 LotsOfSocks 
Watch live Prime Minister Justin Trudeau and Mayor Mississauga BonnieCrombie make infrastructure announcement YourBudget2019 
Holi hai Have happy and colourful festival 
Happy Nowruz Wishing healthy prosperous new year everyone celebrating 
the International Day for the Elimination Racial Discrimination reflect the progress weve made fightracism and recognize theres still more build more just inclusive world 
know how hard buy your first home Thats why YourBudget2019 makes more affordable with the First-Time Home Buyer Incentive families here Orléans all across Canada can make their dreams owning home reality More 
See what Canadians are saying about YourBudget2019 the next step the Liberal teams plan invest the middle class and grow economy that works for everyone 
Looking buy your first home YourBudget2019 going make little easier The new First-Time Home Buyer Incentive will give you your homes value help you with the down payment make your mortgage more affordable Learn more 
Today sunset Jewish communities Canada around the world will join together celebrate the start Purim Happy Purim all those celebrating Chag Purim Sameach 
Everyone needs safe and affordable place call home but too many Canadians are being priced out the housing market Were making significant new investments help more Canadians find affordable place call home heres how 
many Canadians dream buying their first home The new First-Time Home Buyer Incentive will help you make that dream reality YourBudget2019 
For the International Day Francophonie close million French-speaking people the are celebrating the essence our language Lets proud our Canadian Francophonie which important economic vector and pillar our identity malanguefrançaise 
will always stand for Francophone communities across the country the International Day Francophonie celebrate the French language culture 
YourBudget2019 invests the middle class build stronger economy and give you and your family real and fair chance success Find out how 
Saving enough for down payment home can challenging help make homeownership more affordable were introducing the First-Time Home Buyer Incentive help Canadians enter the housing market YourBudget2019 
Making investments for YourBudget2019 334M strengthen and revitalize Indigenous Languages 20M support our Canadian music Funding for our festivals celebrations for the first time years 45M for new Anti-Racism Strategy 
VanSouth home vibrant seniors community and with YourBudget2019 are making their lives better Were funding projects support seniors who want stay involved their communities and making sure that working seniors can keep more their hard-earned income 
Many Canadians esp young Canadians are forced delay their dream home ownership The First Time Home Buyers Incentive shared equity mortgage program eligible Canadians will able lower their borrowing costs sharing the cost buying home with CMHC_ca 
Budget2019 elevates our fed-muni partnership build better lives How Doubles next years direct transfer cdnmuni for infra Invests delivering directly for CDNs through FCM Also acts our advice prioritize rural Internet access cdnpoli 
Were helping Canadians plan for and get the training they need progress their career The new Canada Training Benefit gives working Canadians and 4-weeks off every four years put towards training 
YourBudget2019 all about you and making investments that will help you and your family succeed all while creating good middle class jobs and building stronger economy Read the full budget here 
Every Canadian should have access reliable internet connection With investments made YourBudget2019 Canadians will have high-speed broadband coverage years 
The Municipal Infrastructure Top means communities all across Canada will now get more funding for the infrastructure projects they need that means safer cleaner and stronger communities for you and your family YourBudget2019 
YourBudget2019 enhances the Guaranteed Income Supplement low-income working seniors can have stronger more secure retirement and keep more their hard-earned money 
help new graduates transition from school work YourBudget2019 will lower interest rates your student loans and you wont accumulate interest for the first six months after graduating 
Canadians pay too much for prescription drugs and were going change that YourBudget2019 will make drugs more affordable and lays the groundwork for national pharmacare plan 
you want upgrade your skills get promotion new job the Canada Training Benefit gives working Canadians and time off work every four years take the training classes you need YourBudget2019 
For Canadians who are starting family want take the next big step their lives the new First-Time Home Buyer Incentive will make easier for you buy your first home Learn more YourBudget2019 
you elected government that was going invest the middle class grow the economy and make real difference for you and your family And with YourBudget2019 thats exactly what were doing Read more about whats the budget 
affordable place call home Good well-paying jobs secure retirement And affordable prescription drugs Budget about investing the middle class 
cant stay silent the face hatred and violence Read full speech the House Commons here 
Later today Bill_Morneau will table YourBudget2019 the next steps our plan invest the middle class keep helping Canadians succeed Tune here 
our Muslim friends here Canada New Zealand and around the world know that mourn with you feel your pain and love you See the full text JustinTrudeaus statement Parliament here 
must counter this hatred And together will 
