I’m in Thunder Bay, ON tonight answering questions at our town hall. Click here to tune in live: 
We're investing in the people who build Canada, like the hardworking men women of @carpenters27. With more apprenticeships, lower interest rates on student loans, the new Canada Training Benefit, #YourBudget2019 gives you the time support to continue your important work. 
Prime Minister @JustinTrudeau joins #LiUNA graduating class of LiUNA Local 607 in Thunder Bay this afternoon. Exciting day for Indigenous Training Students as they begin a path to career building with @LiunaCanada 
#YourBudget2019 introduces the next step in helping all Canadians get the skills they need to find and keep good jobs. Learn more about the Canada Training Benefit: 
The new Canada Training Benefit in #YourBudget2019 will: ✅Give workers $250/year to help pay for training ✅Provide 4 weeks of income support during that training Learn more: 
Through the 2019 federal Budget, our government is introducing the #CanadaTrainingBenefit - a new tool to help working Canadians find the time and money to upgrade their skills and progress in their careers. 
We celebrated #Nowruz and welcomed the arrival of spring in York region last night. Nowruz Mubarak! 
The Canada Training Benefit is a new personalized tool to help all Canadians get the skills they need to find and keep good jobs. Learn more: #YourBudget2019 
In 2015, we promised to eliminate all long-term drinking water advisories on public systems on reserve. Today, on World Water Day, @stbstvdan and I reflect on the progress made so far, and the work still to come. ✅ 81 advisories lifted ️ 59 still to go Our work continues. 
What a horrible attack at Saint Joseph’s Oratory in Montreal this morning. Father Claude Grou, Canadians are thinking of you and wishing you a swift recovery. 
Shocked by the news that Father Grou was stabbed during morning mass at Saint Joseph's Oratory @osjmr My team is at the Church offering all our support. Am on my way back to #Outremont to be with you. 
Last night, Conservatives forced marathon votes for the 2nd night in a row. They voted against funding for jobs, the CAF, veterans, public safety, the environment even more services that Canadians rely on. We're focused on working for you, while the opposition plays politics. 
Prime Minister @JustinTrudeau wishing #Nowruz Mubarak to all those celebrating the #NewYear! 
Always a pleasure to welcome PM @JustinTrudeau to #Mississauga, especially when he's here to deliver an $80M investment for transit, roads cycling infrastructure in our City #Budget2019 delivered real results for cities recognizes our important role as engines of the economy. 
Canadians rely on infrastructure projects like roads, bridges, buses – like Mississauga's @MiWayHelps – to get to work, back home. With #YourBudget2019, your communities will have more money to get those projects done make your life easier. More: 
Through the Municipal Top-Up, #YourBudget2019 proposes to increase support for municipal infrastructure priorities this year to help communities across the country invest where people need it the most: 
Happy #Nowruz! Last week, I joined ⁦@MajidJowhari⁩ in Richmond Hill to celebrate spring and the New Year. To everyone celebrating, I wish you good health, happiness and a prosperous New Year. 
